code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
506729,Dvorce,166,117,117,"10,25","0,00","0,00","5,12","0,00","1,70","14,52","0,00","0,85","0,85","0,00","0,00","10,25","0,00","3,41","27,35","0,00","3,41","0,00","0,00","0,00","0,00","21,36","0,85"
587109,Dyjice,115,81,81,"14,81","0,00","0,00","3,70","0,00","11,11","16,04","1,23","0,00","0,00","0,00","0,00","9,87","0,00","2,46","19,75","0,00","12,34","0,00","1,23","1,23","0,00","4,93","1,23"
587125,Hladov,152,98,98,"11,22","0,00","0,00","6,12","0,00","4,08","10,20","1,02","0,00","3,06","0,00","0,00","14,28","0,00","3,06","30,61","0,00","9,18","0,00","0,00","0,00","0,00","7,14","0,00"
587141,Hodice,617,397,393,"10,94","0,00","0,00","4,58","0,00","4,58","7,12","0,25","0,76","1,01","0,00","0,00","12,46","0,00","2,79","29,51","0,00","13,23","0,00","1,27","0,76","0,00","8,14","2,54"
587150,Hojkov,126,105,105,"12,38","0,00","0,00","11,42","0,00","2,85","7,61","1,90","0,95","0,95","0,00","0,00","14,28","0,00","2,85","35,23","0,00","2,85","0,00","2,85","0,00","0,00","3,80","0,00"
587168,Horní Dubenky,493,298,294,"6,12","0,00","0,00","12,24","0,34","3,40","17,34","1,36","2,04","2,04","0,00","0,34","12,24","0,00","2,38","26,53","0,68","3,06","0,00","1,02","1,02","1,02","6,80","0,00"
587206,Horní Myslová,65,45,45,"4,44","0,00","0,00","6,66","0,00","8,88","4,44","0,00","0,00","0,00","0,00","0,00","26,66","0,00","11,11","20,00","0,00","6,66","0,00","0,00","0,00","0,00","6,66","4,44"
587192,Hostětice,110,68,68,"14,70","0,00","0,00","7,35","0,00","4,41","13,23","2,94","0,00","0,00","0,00","0,00","5,88","0,00","2,94","27,94","0,00","5,88","0,00","0,00","0,00","1,47","11,76","1,47"
590681,Hrutov,70,49,49,"10,20","0,00","0,00","24,48","0,00","12,24","8,16","0,00","0,00","0,00","0,00","0,00","8,16","0,00","6,12","12,24","0,00","12,24","0,00","0,00","0,00","0,00","6,12","0,00"
587222,Hubenov,122,92,89,"14,60","0,00","0,00","6,74","0,00","3,37","13,48","0,00","0,00","2,24","0,00","0,00","7,86","0,00","10,11","26,96","1,12","4,49","0,00","3,37","0,00","1,12","4,49","0,00"
